????(???)?,??,???,?? (?),?,0 - 4?,5 - 9?,10 - 14?,15 - 19?,20 - 24?,25 - 29?,30 - 34?,35 - 39?,40 - 44?,45 - 49?,50 - 54?,55 - 59?,60 - 64?,65 - 69?,70 - 74?,75 - 79?,80? ??,80 - 84?,85? ??,85 - 89?,90 - 94?,95 - 99?,100? ??
 ???,?,85? ??,3639.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,85 - 89?,2464,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,90 - 94?,904,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,95 - 99?,238,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,100? ??,33.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,?,106237,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,0 - 4?,3392.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,5 - 9?,3724.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,10 - 14?,3611,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,15 - 19?,4453,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,20 - 24?,6360.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,25 - 29?,9327.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,30 - 34?,9239,,,,,,,,,,,,,,,,,,,,,,,,
